"","ID","OWC","eHRAF.Name","EA.ID","PSF.Cluster","group","DQ","all_est_count_30","all_sev_est_count_30","countdr_30","countsevdr_30","countfl_30","countsevfl_30","countLAPD_30","countsevLAPD_30","freqdr_30","freqsevdr_30","freqfl_30","freqsevfl_30","freqLAPD_30","freqsevLAPD_30","all_freq_30","all_freq_sev_30","all_onset_avg_30","all_onset_mode_30","all_pred_avg_30","all_pred_mode_30","all_severe_avg_30","all_severe_mode_30","all_div_30","all_div_sev_30","duration_30","freqdr_30_IA","freqsevdr_30_IA","freqfl_30_IA","freqsevfl_30_IA","freqLAPD_30_IA","freqsevLAPD_30_IA","all_freq_30_IA","all_freq_sev_30_IA","fd_est_count_30","fd_freq_30","fd_onset_avg_30","fd_onset_mode_30","fd_pred_avg_30","fd_pred_mode_30","fd_severe_avg_30","fd_severe_mode_30","fd_div_30","fd_freq_30_IA","sevnonfd_est_count_30","sevnonfd_freq_30","sevnonfd_onset_avg_30","sevnonfd_onset_mode_30","sevnonfd_pred_avg_30","sevnonfd_pred_mode_30","sevnonfd_severe_avg_30","sevnonfd_severe_mode_30","sevnonfd_div_30","sevnonfd_freq_30_IA","nonsev_est_count_30","nonsev_freq_30","nonsev_onset_avg_30","nonsev_onset_mode_30","nonsev_pred_avg_30","nonsev_pred_mode_30","nonsev_severe_avg_30","nonsev_severe_mode_30","nonsev_div_30","nonsev_freq_30_IA","threat_count","all_est_count_30_IA","all_sev_est_count_30_IA","countdr_30_IA","countsevdr_30_IA","countfl_30_IA","countsevfl_30_IA","countLAPD_30_IA","countsevLAPD_30_IA","fd_est_count_30_IA","sevnonfd_est_count_30_IA","nonsev_est_count_30_IA","threat_count_IA","NAME","ea033","hier_beyond_com","intensity_agricult","class_strat","community_size","IBSS.Sample","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5Resolved","S6Resolved","S8Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS2e_nonkin_Res","LS3d_outside_Res","LS3e_nonkin_Res","LS4d_outside_Res","LS4e_nonkin_Res","LS5d_outside_Res","LS5e_nonkin_Res","S1_Resolved","S5_Resolved","S6_Resolved","LS2b_communal_Res","LS3b_communal_Res","LS4b_communal_Res","LS5b_communal_Res","LS6b_communal_Res","LS2c_leader_Res","LS3c_leader_Res","LS4c_leader_Res","LS5c_leader_Res","LS6c_leader_Res","LS7c_leader_Res","LS6d_outside_Res","LS7d_outside_Res","LS6e_nonkin_Res","LS7e_nonkin_Res"
"18",28,"FO07","Azande","Ai03","5","MINERVA",3,22,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,4,4,7,4,2,2,2.818,3,2.182,2,3,2,NA,NA,NA,NA,NA,4,4,7,4,2,4,NA,NA,1,1,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,2,2,3,3,2,2,1,7,NA,22,2,NA,NA,NA,NA,2,2,2,NA,20,NA,"Azande",3,3,3,4,3,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,0,NA,NA,0,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",29,"MQ08","Fur","Cb17",NA,"JGE",3,10,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,6,2,6,2,2,2,2,2,2.5,2.5,1,NA,NA,NA,NA,NA,NA,6,2,6,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,2,2,2,2,2.5,2.5,1,6,1,10,NA,NA,NA,NA,NA,10,NA,NA,NA,10,1,"Fur (Darfur)",4,4,5,4,3,1,1,1,0,1,0,1,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",30,"FJ21","Nuba","Ai10",NA,"JGE",2,24,4,2,2,NA,NA,2,2,4,4,NA,NA,4,4,7,5,1.917,2,1.833,2,1.333,1,3,2,NA,4,4,1,1,4,4,7,5,4,5,1.5,2,1,1,3,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,2,2,1,1,1,7,NA,24,4,2,2,0,0,2,2,4,0,20,0,"Otoro Nuba",2,2,5,2,5,1,1,0,1,1,1,1,2,1,0,1,0,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",32,"MP19","Mao","Ai47",NA,"JGE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,2,"Mao",2,2,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",34,"FL12","Maasai","Aj02","11",NA,1,3,3,NA,NA,NA,NA,3,3,NA,NA,NA,NA,4,4,4,4,1,1,1,1,4,4,1,1,5,1,1,1,1,4,4,4,4,3,4,1,1,1,1,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,0,0,0,0,3,3,3,0,0,0,"Masai",2,2,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,1,1,NA,NA,NA,0,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",35,"MP17","Konso","Ca01",NA,NA,1,48,4,4,4,4,NA,20,NA,5,5,5,NA,7,2,7,5,1.917,2,1.917,1,2.167,2,4,1,NA,5,5,5,1,7,2,7,5,4,5,1,1,1,1,4,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44,7,2,2,2,1,2,2,3,7,2,48,4,4,4,4,0,20,0,4,0,44,2,"Konso",1,1,5,2,6,1,1,NA,1,NA,NA,NA,NA,1,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",36,"MO04","Somali","Ca02","12","JGE",2,9,8,2,2,NA,NA,3,2,4,4,NA,NA,4,4,5,5,1.333,1,1.111,1,3.222,3,4,3,NA,4,4,1,1,4,4,5,5,8,5,1.25,1,1,1,3.375,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,2,1,3,NA,9,8,2,2,0,0,3,2,8,0,1,0,"Somali",3,3,5,2,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,1,1,NA,0,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",37,"MP05","Amhara","Ca07","17","JGE",2,41,1,20,NA,20,NA,NA,NA,7,NA,7,NA,NA,NA,7,3,1.512,2,2.976,3,1.561,2,3,1,NA,7,1,7,1,1,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,4,4,1,3,40,7,1.5,1,3,3,1.5,2,2,7,NA,41,1,20,0,20,0,0,0,0,1,40,0,"Amhara",4,4,5,5,8,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,NA,NA,1,0,1,1,NA,0,1,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",40,"MS22","Teda","Cc02",NA,"JGE",1,6,6,2,2,NA,NA,2,2,4,4,NA,NA,4,4,5,5,1.667,2,1,1,3.333,3,3,3,7,4,4,1,1,4,4,5,5,6,5,1.667,2,1,1,3.333,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,6,2,2,0,0,2,2,6,0,0,0,"Teda",2,2,6,4,2,1,1,0,1,NA,NA,1,NA,1,0,1,0,1,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",42,"MX03","Berbers of Morocco","Cd03",NA,"JGE",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,2,3,3,1,1,0,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,2,2,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Riffians",2,2,5,2,7,1,1,0,1,1,1,1,2,1,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",43,"MR13","Fellahin","Cd02",NA,"JGE",3,24,4,NA,NA,21,1,3,3,NA,NA,7,3,4,4,7,5,2,2,2.75,3,2.208,2,3,3,0,NA,NA,7,3,4,4,7,5,3,4,2,2,1.667,2,3.333,3,2,4,1,3,2,2,1,1,3,3,1,3,20,7,2,2,3,3,2,2,1,7,2,24,4,NA,NA,21,1,3,3,3,1,20,2,"Egyptians",4,NA,6,5,8,1,1,NA,1,NA,NA,NA,NA,1,0,1,1,1,1,1,NA,NA,0,0,0,1,NA,0,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",46,"MD04","Rwala Bedouin","Cj02",NA,"JGE",1,3,2,1,1,NA,NA,1,1,3,3,NA,NA,3,3,4,4,1.667,2,1,1,3.167,2.5,3,2,0,3,3,1,1,3,3,4,4,2,4,1.5,2,1,1,3.5,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,1,2.5,2.5,1,3,NA,3,2,1,1,0,0,1,1,2,0,1,0,"Rwala Bedouin",2,2,1,2,2,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",47,"MB01","Turks","Ci05",NA,"JGE",1,4,4,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,5,5,1.5,1,1,1,3.25,3,3,3,0,3,3,1,1,1,1,5,5,2,4,1,1,1,1,3.5,3,2,4,2,4,2,2,1,1,3,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,4,1,1,0,0,0,0,2,2,0,0,"Turks",4,4,5,5,8,1,NA,0,NA,NA,NA,NA,NA,1,0,NA,1,NA,1,1,NA,NA,NA,0,1,1,NA,NA,0,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
